player_name,season,mp,raptor_offense,raptor_defense
Danilo Gallinari,2020,2046,3.75,-1.09
Danilo Gallinari,2021,1664,1.2,-0.92
Danilo Gallinari,2022,1784,1.16,-2.23
Langston Galloway,2020,1702,0.86,-1.49
Langston Galloway,2021,453,0.25,-1.24
Langston Galloway,2022,107,-7.74,2.63
Darius Garland,2020,1824,-2.6,-3.95
Darius Garland,2021,1790,0.15,-1.49
Darius Garland,2022,2430,4.77,-0.27
Marcus Garrett,2022,128,-2.64,-3.83
Usman Garuba,2022,239,-1.18,-0.9
Luka Garza,2022,389,-0.41,-2.57
Marc Gasol,2020,1389,-2.36,4.04
Marc Gasol,2021,1080,-1.53,3.31
Rudy Gay,2020,1461,-1.07,0.94
Rudy Gay,2021,1358,-0.6,3.33
Rudy Gay,2022,1038,-0.15,0.76
Paul George,2020,1898,3.52,2.81
Paul George,2021,2597,4.56,1.98
Paul George,2022,1077,1.14,3.95
Taj Gibson,2020,1025,-2.25,-0.53
Taj Gibson,2021,1074,0.1,4.45
Taj Gibson,2022,946,-1.7,0.85
Josh Giddey,2022,1700,-1.89,0.46
Harry Giles III,2020,667,-2.28,-3.35
Harry Giles III,2021,352,-4.05,-0.81
Shai Gilgeous-Alexander,2020,2707,1.56,-0.42
Shai Gilgeous-Alexander,2021,1180,3.71,-1.35
Shai Gilgeous-Alexander,2022,1942,2.75,-0.88
Anthony Gill,2021,251,-2.53,-0.09
Anthony Gill,2022,463,0.51,-0.57
Freddie Gillespie,2021,392,-2.5,0.71
Freddie Gillespie,2022,119,-6.19,2.7
Rudy Gobert,2020,2603,0.11,5.52
Rudy Gobert,2021,2563,-0.12,7.91
Rudy Gobert,2022,2317,0.06,6.82
Brandon Goodwin,2020,430,-2.73,0.0
Brandon Goodwin,2021,620,-2.65,-1.74
Brandon Goodwin,2022,502,-1.65,-0.13
Jordan Goodwin,2022,6,-34.89,-6.14
Aaron Gordon,2020,2017,0.25,-1.18
Aaron Gordon,2021,1683,-0.66,1.01
Aaron Gordon,2022,2536,0.58,-0.21
Eric Gordon,2020,1426,-1.62,-1.97
Eric Gordon,2021,789,0.41,-3.94
